BMYO1,BMYO2,LASP1,LASP2,LASP3,LASP4,LASP5,LHS1,LHS2,LHS3
MAPKBP1,BEX2,TSPO,ATP1B1,TGFA,SFRP1,PTTG1,MYO6,SNIP1,MCCC2
SH3RF2,NSG1,CARHSP1,HMGA1,DUSP14,SCGB2A1,SPAG5,ZNF292,ELOVL5,TRAFD1
AC239799.2,TES,CAPN1,SLC20A2,RPL35A,AC108134.2,DIAPH3,TUBB3,RAB17,SEMA4B
KRT17,AOPEP,TNFRSF11B,LOX,PRR4,ARHGEF38-IT1,BRCA1,GTPBP10,MAGI3,AZGP1
RPS6KA1,ETF1,HEBP2,SESTD1,RPS7,RPL39,KNSTRN,CSF3R,COPS9,RABEP1
NETO2,MINDY2,QDPR,MAP3K13,SERPINB7,TM7SF2,KIF20B,SYTL2,ACADSB,PHGR1
PILRB,RIPK4,GJB3,IGF2BP2,RPL5,HSP90AA1,MXD3,PLGRKT,EGOT,DPCD
PHGDH,ARHGAP19,PI3,DSC3,MYO5B,NTHL1,PSRC1,TFAP2A,MEGF9,CHMP2A
UBASH3B,SRSF8,ATP6V1B2,GIPC1,GPAT3,RPL37,TK1,ZNRF2,TTC39A,PI15
URB1,KIF5B,CALML5,STX12,CD47,SLC12A2,LMNB1,HSDL1,PDZK1,CETN2
NTF3,KRT14,C9orf16,TMEM41A,HMGA1,HIST1H3D,SPDL1,HIGD1A,AGR2,HSDL1
XPR1,CXCL14,BBOX1,DSG2,MTM1,RHOV,CLSPN,SERPINA3,SORD,FASN
RAD18,TENM2,MESP1,PLEC,RPS4X,FBXW7,FANCI,CTXN1,ANKRD30B,HMGN1
ARHGEF5,FZD8,DEFB1,SRPK1,LRRFIP2,KRTCAP3,BLM,LNX2,PHYHD1,C20orf96
PAMR1,SULF1,SAA1,ANKLE2,RPS12,KBTBD7,CCNF,CA12,PLGRKT,NDUFV2
CDK18,SCPEP1,PPL,GSTA1,POU2F3,AC018362.1,BRCA2,FAM102A,PRLR,EIF3H
LGR4,ARHGEF35,CBR3,IL20,RPS15A,CLIC3,DHFR,MEX3D,BTG2,TANC2
GAS6,ETV1,SNHG29,LINC00342,PTRHD1,RPS21,ATAD5,AP4M1,PARD6B,DGCR6
ITGB4,TRMT9B,MPV17L,SAA4,ATP6V1B2,DNAJC4,CENPN,FASN,C9orf152,UQCRQ
WIF1,HUNK,FBXW5,MACC1,EIF3D,AC037198.1,CENPW,DBNDD1,MPHOSPH6,IFT22
PARP1,FBXW7,SSBP1,IQCG,RPL7A,LINC01198,CHEK1,MREG,EFNA1,PDIA4
