cluster,gene,cluster0,celltype
LASP5,DIAPH3,LASP5,Epithelial
LASP5,BRCA1,LASP5,Epithelial
LASP5,KNSTRN,LASP5,Epithelial
LASP5,KIF20B,LASP5,Epithelial
LASP5,MXD3,LASP5,Epithelial
LASP5,PSRC1,LASP5,Epithelial
LASP5,TK1,LASP5,Epithelial
LASP5,LMNB1,LASP5,Epithelial
LASP5,SPDL1,LASP5,Epithelial
LASP5,CLSPN,LASP5,Epithelial
LASP5,FANCI,LASP5,Epithelial
LASP5,BLM,LASP5,Epithelial
LASP5,CCNF,LASP5,Epithelial
LASP5,BRCA2,LASP5,Epithelial
LASP5,DHFR,LASP5,Epithelial
LASP5,ATAD5,LASP5,Epithelial
LASP5,CENPN,LASP5,Epithelial
LASP5,CENPW,LASP5,Epithelial
LASP5,CHEK1,LASP5,Epithelial
LHS1,TMEM45B,LHS1,Epithelial
LHS1,SDR16C5,LHS1,Epithelial
LHS1,CACNG4,LHS1,Epithelial
LHS1,GOLM1,LHS1,Epithelial
LHS1,MISP,LHS1,Epithelial
LHS1,DNAJC12,LHS1,Epithelial
LHS1,EEF1A2,LHS1,Epithelial
LHS1,MRPS10,LHS1,Epithelial
LHS1,TMC5,LHS1,Epithelial
LHS1,TMEM106B,LHS1,Epithelial
LHS1,ARHGAP29-AS1,LHS1,Epithelial
LHS1,TOX3,LHS1,Epithelial
LHS1,SLC44A4,LHS1,Epithelial
LHS1,RASEF,LHS1,Epithelial
LHS1,SCCPDH,LHS1,Epithelial
LHS1,BCAS4,LHS1,Epithelial
LHS1,DNAH5,LHS1,Epithelial
LHS1,SPINK1,LHS1,Epithelial
LHS1,TRAFD1,LHS1,Epithelial
LHS1,KCNMA1,LHS1,Epithelial
LHS1,AREG,LHS1,Epithelial
LHS1,CIB1,LHS1,Epithelial
LHS1,SERHL2,LHS1,Epithelial
LHS1,CPPED1,LHS1,Epithelial
LHS1,SEMA4B,LHS1,Epithelial
LHS1,MAP3K1,LHS1,Epithelial
LHS1,EDN2,LHS1,Epithelial
LHS1,FKBP1B,LHS1,Epithelial
LHS1,LYPD6B,LHS1,Epithelial
LHS1,OPN3,LHS1,Epithelial
LHS1,CAPN8,LHS1,Epithelial
LHS1,MYL12B,LHS1,Epithelial
LHS1,NCEH1,LHS1,Epithelial
LHS1,QSOX1,LHS1,Epithelial
LHS1,RUNDC1,LHS1,Epithelial
LHS1,FSIP1,LHS1,Epithelial
LHS1,ELF3-AS1,LHS1,Epithelial
LHS1,ZNF626,LHS1,Epithelial
LHS1,IRS1,LHS1,Epithelial
LHS1,PTHLH,LHS1,Epithelial
LHS1,MAPK8,LHS1,Epithelial
LHS1,FOXA1,LHS1,Epithelial
LHS1,TTC39A,LHS1,Epithelial
LHS1,CROT,LHS1,Epithelial
LHS1,LRBA,LHS1,Epithelial
LHS1,LIMCH1,LHS1,Epithelial
LHS1,TMCO3,LHS1,Epithelial
LHS1,KLHDC7B,LHS1,Epithelial
LHS1,JPT1,LHS1,Epithelial
LHS1,SH3BP4,LHS1,Epithelial
LHS1,DUSP10,LHS1,Epithelial
LHS1,ACADSB,LHS1,Epithelial
