cluster,gene,cluster0,celltype
PV3,ARHGEF17,PV3,Peri
PV3,C1QTNF1,PV3,Peri
PV3,UBA2,PV3,Peri
PV3,BCAM,PV3,Peri
PV3,PPP1R12B,PV3,Peri
PV4,ADGRL3,PV4,Peri
PV4,CLSTN2,PV4,Peri
PV4,ECRG4,PV4,Peri
PV4,CCL19,PV4,Peri
PV4,GGT5,PV4,Peri
PV4,HAS2,PV4,Peri
PV4,LINC00924,PV4,Peri
PV4,PAPPA2,PV4,Peri
PV4,ARHGAP1,PV4,Peri
PV4,SORBS3,PV4,Peri
PV4,INMT,PV4,Peri
PV4,AGT,PV4,Peri
PV4,PCDH9,PV4,Peri
PV4,LINC01197,PV4,Peri
PV4,DES,PV4,Peri
PV4,DMRT3,PV4,Peri
PV4,ANGPTL1,PV4,Peri
PV4,PLPPR4,PV4,Peri
PV4,IGFBP5,PV4,Peri
PV4,EDIL3,PV4,Peri
PV4,ARHGAP15,PV4,Peri
PV4,TGFBI,PV4,Peri
PV4,GUCY1A2,PV4,Peri
PV4,CHSY3,PV4,Peri
PV4,LGI4,PV4,Peri
PV4,REM1,PV4,Peri
PV4,EN1,PV4,Peri
PV4,RDH5,PV4,Peri
PV4,GORAB,PV4,Peri
PV4,FAM13C,PV4,Peri
PV4,FHL1,PV4,Peri
PV4,EMX2OS,PV4,Peri
PV4,ANGPT1,PV4,Peri
PV4,HSPB6,PV4,Peri
PV4,ISYNA1,PV4,Peri
PV4,AC018647.1,PV4,Peri
PV4,PCSK1N,PV4,Peri
PV4,SYNPO2,PV4,Peri
PV4,STEAP4,PV4,Peri
PV4,PDE5A,PV4,Peri
PV4,PRKAR2B,PV4,Peri
PV4,OLFML2B,PV4,Peri
PV4,SLIT3,PV4,Peri
PV4,NPY1R,PV4,Peri
PV4,FHL5,PV4,Peri
PV4,SEPTIN7,PV4,Peri
PV4,DPY19L2,PV4,Peri
PV4,CNR1,PV4,Peri
PV4,PELI2,PV4,Peri
PV4,CCDC102B,PV4,Peri
PV4,ABCC9,PV4,Peri
PV4,PARM1,PV4,Peri
PV4,CH25H,PV4,Peri
PV4,SDC2,PV4,Peri
PV4,SCN4B,PV4,Peri
PV4,MRGPRF,PV4,Peri
PV4,SNTA1,PV4,Peri
PV4,LMOD1,PV4,Peri
PV4,C20orf27,PV4,Peri
PV4,TPPP3,PV4,Peri
PV4,AOC3,PV4,Peri
PV4,VGLL3,PV4,Peri
PV4,TMEM119,PV4,Peri
PV4,SUSD2,PV4,Peri
PV4,SEMA4C,PV4,Peri
PV4,CCL26,PV4,Peri
PV4,PHYHIP,PV4,Peri
PV4,TLE2,PV4,Peri
PV4,SMARCD3,PV4,Peri
PV4,TTLL7,PV4,Peri
PV4,AC009951.6,PV4,Peri
PV4,MRVI1,PV4,Peri
PV4,LMCD1,PV4,Peri
PV4,CSGALNACT1,PV4,Peri
PV4,BATF3,PV4,Peri
PV4,TRAF3IP2-AS1,PV4,Peri
PV4,CDH16,PV4,Peri
PV4,ANKRD33B,PV4,Peri
PV4,DACT1,PV4,Peri
PV4,TAGLN,PV4,Peri
PV4,UBR1,PV4,Peri
PV4,TMEM176A,PV4,Peri
PV4,CD4,PV4,Peri
PV4,PPP1R14A,PV4,Peri
PV4,HSPB2,PV4,Peri
PV4,SOCS1,PV4,Peri
PV4,NR2F2,PV4,Peri
PV4,IKZF4,PV4,Peri
PV4,DEPP1,PV4,Peri
PV4,HSPB7,PV4,Peri
PV4,SLC1A2,PV4,Peri
PV4,PPP1R12A,PV4,Peri
PV4,CCDC71L,PV4,Peri
PV4,ADAMTS10,PV4,Peri
PV4,NMD3,PV4,Peri
PV4,NOTCH3,PV4,Peri
PV4,TBCC,PV4,Peri
PV4,SMIM10,PV4,Peri
PV4,FFAR2,PV4,Peri
PV4,SEPTIN8,PV4,Peri
PV5,THBS4,PV5,Peri
PV5,P2RY14,PV5,Peri
PV5,HIGD1B,PV5,Peri
PV5,VIPR1,PV5,Peri
PV5,AGAP2,PV5,Peri
PV5,FFAR2,PV5,Peri
PV5,SYP,PV5,Peri
PV5,RGS5,PV5,Peri
PV5,FAM162B,PV5,Peri
PV5,COL23A1,PV5,Peri
PV5,ARHGEF17,PV5,Peri
PV5,SNHG32,PV5,Peri
PV5,PLCL1,PV5,Peri
PV5,NDUFA4L2,PV5,Peri
PV5,EPB41L1,PV5,Peri
PV5,FRMD3,PV5,Peri
PV5,TMEM74B,PV5,Peri
PV5,DPY19L2,PV5,Peri
PV5,PCK1,PV5,Peri
PV5,AC100793.2,PV5,Peri
PV5,C20orf27,PV5,Peri
PV5,ABCC9,PV5,Peri
PV5,LZTS1,PV5,Peri
PV5,IER5L,PV5,Peri
PV5,SCN4B,PV5,Peri
PV5,COL25A1,PV5,Peri
PV5,FKBPL,PV5,Peri
PV5,DMRT3,PV5,Peri
PV5,COX4I2,PV5,Peri
PV5,AL020997.5,PV5,Peri
PV5,TESC,PV5,Peri
PV5,AVPR1A,PV5,Peri
PV5,BX284668.6,PV5,Peri
PV5,TBCC,PV5,Peri
PV5,ANGPTL4,PV5,Peri
PV5,GUCY1A2,PV5,Peri
PV5,HRC,PV5,Peri
PV5,HES7,PV5,Peri
PV5,PNMA1,PV5,Peri
PV5,SERTAD3,PV5,Peri
PV5,PTEN,PV5,Peri
PV5,SEPTIN4,PV5,Peri
PV5,ASXL1,PV5,Peri
PV5,RASD1,PV5,Peri
PV5,FUS,PV5,Peri
PV5,LINC00989,PV5,Peri
PV5,AGTR1,PV5,Peri
PV5,EBF2,PV5,Peri
PV5,LRATD1,PV5,Peri
PV5,ITGA7,PV5,Peri
PV5,ANO3,PV5,Peri
PV5,NOTCH3,PV5,Peri
PV5,STEAP4,PV5,Peri
PV5,ADCY6,PV5,Peri
PV5,CYGB,PV5,Peri
PV5,SPECC1,PV5,Peri
PV5,KLHL23,PV5,Peri
PV5,SLC38A11,PV5,Peri
PV5,HEXIM1,PV5,Peri
PV5,SELENBP1,PV5,Peri
PV5,BRD2,PV5,Peri
PV5,GPRIN3,PV5,Peri
PV5,INAFM1,PV5,Peri
PV5,CCDC102B,PV5,Peri
PV5,AL391121.1,PV5,Peri
PV5,TNS2,PV5,Peri
PV5,DAAM2,PV5,Peri
PV5,GUCY1B1,PV5,Peri
PV5,MYO1B,PV5,Peri
PV5,H19,PV5,Peri
PV5,S1PR3,PV5,Peri
PV5,ZNF574,PV5,Peri
PV5,MEF2C,PV5,Peri
PV5,RGS16,PV5,Peri
PV5,ING1,PV5,Peri
PV5,HNRNPU,PV5,Peri
PV5,MAFA,PV5,Peri
PV5,WDFY2,PV5,Peri
PV5,PTH1R,PV5,Peri
PV5,APBB2,PV5,Peri
PV5,LINC00205,PV5,Peri
PV5,ATP1B2,PV5,Peri
PV5,PGM5-AS1,PV5,Peri
PV5,SEPTIN7,PV5,Peri
PV5,RDH5,PV5,Peri
PV5,LINC02076,PV5,Peri
PV5,AP001033.3,PV5,Peri
PV5,COL5A3,PV5,Peri
PV5,TRPC6,PV5,Peri
PV5,POU3F1,PV5,Peri
PV5,PLEKHG6,PV5,Peri
PV5,DCBLD1,PV5,Peri
PV5,AC006449.2,PV5,Peri
PV5,COL18A1,PV5,Peri
PV5,KCNJ8,PV5,Peri
PV5,ARL4D,PV5,Peri
PV5,INTS6,PV5,Peri
PV5,AP001160.1,PV5,Peri
PV5,CDC42EP4,PV5,Peri
PV5,AGAP1-IT1,PV5,Peri
