Cycling Myeloid,Myeloid c0 DC LAMP3,Myeloid c1 LAM1 FABP5,Myeloid c2 LAM2 APOE,Myeloid c3 cDC1 CLEC9A,Myeloid c4 DCs pDC IRF7,Myeloid c5 Macrophage 3 SIGLEC1,Myeloid c7 Monocyte 3 FCGR3A,Myeloid c8 Monocyte 2 S100A9,Myeloid c9 Macrophage 2 CXCL10,Myeloid c10 Macrophage 1 EGR1,Myeloid c11 cDC2 CD1C,Myeloid c12 Monocyte 1 IL1B
GSTO1,LITAF,PLA2G7,CD63,HAVCR2,CYBB,NR4A2,PLEK,OAZ1,CSF1R,CCL4,PTPRE,PLXDC2
MARCKS,SOD2,RNASET2,PPT1,ARPC3,HLA-DMA,HLA-DPA1,MGAT1,SERPINB1,DRAM1,G0S2,RILPL2,CSTA
CKS1B,HLA-DMA,RASSF4,LY86,LAP3,C9orf142,PLD3,PAG1,IGSF6,MS4A4A,LAIR1,CSTA,PHACTR1
CENPF,MAP3K14,FPR3,CCL2,ASB2,CXCR4,PLXND1,LRRFIP1,CCL20,GRINA,RNASET2,SH3BGRL3,NCF2
FGL2,IL13RA1,CSF1R,CFD,XCR1,HLA-DMB,CECR1,PAPSS2,TSPO,CD163,C15orf48,VASP,GK
CALM3,RELB,SNX10,C3AR1,GPR157,SMIM3,TSPAN4,HLA-DPB1,MS4A7,HLA-DQA2,ITGB2,NFKBID,FBP1
TMEM176A,NCCRP1,FCGR1A,ABCA1,MYD88,HLA-DPA1,GNAI2,UPP1,PHACTR1,LYN,RNASE6,RHOG,SRGN
SOD2,GPX4,CD63,CD81,SLC25A5,P2RY6,LGALS9,PHACTR1,WARS,IER3,CPVL,HERPUD1,GLUL
CTSC,CXCL11,F13A1,PLXDC2,SMCO4,CD2AP,TMEM37,MT2A,GLUL,MSR1,ZNF331,GNA15,VAMP8
MFSD1,C12orf45,S100A11,FPR3,PSMB9,RP5-1171I10.5,LILRB4,SIGLEC10,TNFAIP2,IFNGR2,FAM26F,IL1R2,LILRB4
FABP5,FAM60A,ATP6V1B2,HNMT,TYMP,NEK8,THEMIS2,MYO1G,ARRB2,SLC31A2,CCL18,SYNGR2,PPIF
HLA-DQA2,TRAFD1,LY96,PLEK,CNN2,RPS11,RGL1,CSF1R,HLA-DRB5,CXCL16,RBKS,GK,SH3BGRL3
MMP19,TUBB,SLCO2B1,NINJ1,TMEM14A,OFD1,PLEKHO2,CMTM6,CPVL,HCK,ICAM1,FCGR2A,ARRB2
SAMHD1,ANXA6,LAIR1,CD86,FNIP2,ERN1,LAP3,MYD88,LILRB1,FPR3,ARRB2,LRRFIP1,NAIP
BCL2A1,BLVRA,ATP6V0B,IL4I1,ENSA,REL,APLP2,RILPL2,LYN,CREG1,RGS10,ATF5,ATP6V1B2
LAP3,KYNU,CLEC7A,CECR1,SERPINF2,RNF149,MFSD1,ADGRE2,HIF1A,TNFAIP2,NFKBIA,RNF144B,PILRA
TUBA1C,SRGN,MMP19,CCL3,PHACTR1,SH2B3,LST1,PECAM1,SLC43A2,IDO1,IL18,HAVCR2,FPR3
CPVL,TNFAIP8,FAM26F,PLA2G7,RGCC,DCK,CD84,LTA4H,PILRA,CPVL,OLR1,CXorf21,SLC7A7
LAIR1,CSTA,ALOX5AP,S100A11,HMGA1,SELPLG,SCARB2,C3AR1,CD93,OAS1,FCGR1A,PYCARD,LY86
CLEC7A,NR4A3,IL1RN,HCK,TPMT,OPN3,CLEC7A,SH3BP2,STX11,HMOX1,TYMP,PLSCR1,OSM
ATP6V0B,TRIP10,IL4I1,ARHGAP18,6-Sep,IFIT2,KLF4,SH3BGRL3,TNFRSF1B,LAIR1,CD209,NAMPT,ZEB2
HMOX1,MAP3K13,ABCA1,SLAMF8,ETV6,KDM6B,FAM49B,SERPINB9,MCEMP1,FN1,CTSH,IDO1,FPR1
MAFB,IFNGR2,NPL,FN1,C12orf45,MAPKAPK2,METRNL,CPPED1,DSE,TREM2,MAF,ATP2B1,PPT1
SLC25A5,RUFY3,LGALS1,SAMHD1,DAPP1,RASD1,FRMD4B,CD300A,IL10,MFSD1,NR4A3,MXD1,IL18
HLA-DMB,GPBP1,RNASE6,GRINA,RAB29,BLNK,DMXL2,DUSP1,EMP3,NAMPT,FPR3,H2AFY,VSIG4
CENPM,ACHE,CEBPB,TPP1,CLIC2,RUNX2,HCK,ANXA5,ISG15,CD40,RB1,RNASET2,RHOG
HCK,CAPG,CXCL9,RGS10,DSE,CSF2RB,C3AR1,LILRB3,SLC7A7,NFKBIA,PILRA,CTSZ,PTGS2
FOLR2,SLCO5A1,MGAT1,ATP6V0B,G0S2,SHD,VAMP8,MXD1,THEMIS2,CLEC7A,ITM2B,ARPC1B,THBD
TMEM176B,IL15,GSTO1,LGALS3,FGR,CTSC,GNS,LAPTM5,SNX10,SLC7A7,GPR183,RP11-1143G9.4,SLC11A1
CXCL9,ETV3,HBEGF,NPL,VMO1,ST6GALNAC4,COLGALT1,LCP1,LAPTM5,MMP9,FCGBP,BASP1,ALDH2
ANXA5,COTL1,PILRA,GSTO1,EEF1B2,UBE2J1,GNG10,EVI2B,FAM49A,ADAP2,HIF1A,NR4A2,STX11
LGALS9,LY75,FN1,IFI30,CKLF,CHAF1A,SH3BGRL3,OAZ1,S100A6,PARP14,HNMT,CAPG,TREM2
RGS10,GRN,CD81,IFNGR2,NABP1,ANKRD11,LILRB1,TBXAS1,CD74,SMCO4,SAMHD1,THEMIS2,NLRP3
DNMT1,RGS2,IFI6,ALOX5,HMOX1,BID,KDM6B,LILRA1,ANPEP,CXCL2,FCGR2B,PTPN6,PTPRE
CDC20,RPS27L,MPP1,LAP3,KCNK6,NFKBID,MCOLN1,CD52,CD83,CD86,PLXDC2,SLC8A1,SNX10
