CD4_c0_Tcm,CD4_c1_Treg,CD4_c2_Tn,CD4_c3_Tfh,CD4_c4_Tstr,CD4_c5_CTL,CD4_c6_Tn_FHIT,CD4_c7_Tn_TCEA3,CD4_c8_Tf17,CD4_c9_Tn_TCF7_SLC40A1,CD4_c10_Tn_LEF1_ANKRD55,CD4_c11_Tisg,CD8_c0_t-Teff,CD8_c1_Tex,CD8_c2_Teff,CD8_c3_Tn,CD8_c4_Tstr,CD8_c5_Tisg,CD8_c6_Tcm,CD8_c7_p-Tex,CD8_c8_Teff_KLRG1,CD8_c9_Tsen,CD8_c10_Teff_CD244,CD8_c11_Teff_SEMA4A,CD8_c12_Trm,CD8_c13_Tn_TCF7,MAIT_c2,MAIT-like_c1,NKT_c0_FCGR3A_GZMB,NKT_c4,Tgd_c3
KLF6,MIR4435-1HG,,CXCR5,ATF3,AHNAK,FOXP1,PSIP1,KIAA0319L,DGKA,ADD3,SP110,SLC2A3,SNAP47,CD320,NAP1L1,EGR1,TYMP,IL9R,CLIC1,ATP5F1A,,PTGDR,CPNE1,FYB,FCMR,TTC39C,RCAN3,HLA-DPA1,COTL1,PSMB10
NR4A2,GLRX,,PGAM1,AHSA1,COTL1,ABLIM1,CCND3,CAPG,STMN3,EIF3E,IFI35,NR4A3,ITGAE,PXN,MYC,DEDD2,UBE2L6,VIM,RNASEK,CDC25B,,GBP5,PIP4K2A,MDFIC,EEF1B2,FLT3LG,CXCR6,ATP5G2,CCL5,C1orf21
TIMP1,HPGD,,PKM,TNF,CLIC1,APBA2,BIN1,TIFA,RASA3,MYC,BST2,IL7R,PTMS,C1orf21,SERINC5,SOD1,LGALS9,CD28,ZYX,ATP5MD,,HCST,FOS,LAPTM5,KLF2,JUND,TNFRSF25,USMG5,FYB,ATP5MF
TGFB1,HLA-A,,RNF19A,NEU1,CD63,SH3YL1,EIF3L,NCDN,IFITM1,ATP5MC2,USP18,DUSP1,ALOX5AP,FLNA,FOXP1,GADD45B,EEF1A1P5,CMTM7,NME1-NME2,ATP5MC3,,TRAF3IP3,ZNF331,CXCR4,C19ORF53,CD28,TNFSF13B,ATP5L,TMEM66,ZYX
PTGER2,ICA1,,ZBED2,IER2,CD52,NPM1,UXT,SOX4,SUN2,OXNAD1,LGALS9,SRGN,TIMD4,TPST2,EEF2,TNF,BST2,EMD,PYCARD,TGFBR3,,INPP4B,SKIL,UBL3,RASGRP2,IL4I1,ETS1,HLA-DQA1,C17orf76-AS1,S1PR1
AQP3,ICOS,,PASK,DNAJB6,ID2,,VAMP2,ANXA5,FHIT,DGKA,SP100,PDE4B,LYST,ITGB2,RASGRP2,RHOB,DDX60,FAM102A,WDR1,ITGB2,,MYO1G,TUBA4A,KLF13,FBL,CDC14A,PABPC1,ATPIF1,IL2RB,C12orf75
CRIP1,UGP2,,THADA,DUSP2,S100A10,,STMN3,ADAM19,GIMAP5,TMC8,DDX60L,CSRNP1,ETV1,RORA,PFDN5,DNAJB6,HELZ2,PLP2,GABARAP,REX1BD,,PPP1CA,JAK3,PDE7A,PABPC1,CTSA,LST1,HLA-C,HLA-DQA1,ANXA6
TAGLN2,ENTPD1,,LIMS1,IER5,CTSW,,CCR7,DNAJA1,TXK,CAMK4,SLFN5,TUBB4B,NKG7,LAIR2,NELL2,FOSB,SP100,ATP5MPL,IDH2,C1orf21,,SLAMF7,ITM2C,STT3B,TMEM123,TNFAIP8,NBEAL1,FYB,CCL4,ATP5MC2
CRYBG1,GADD45A,,IL6ST,CD69,S100A11,,SELENOH,H2AFZ,CCND3,FCMR,PPM1K,CD44,BATF,PATL2,RGS10,FOS,SP110,PPP1R16B,ARF5,SASH3,,TC2N,EEF1G,KLRD1,44448,CTSH,DUSP2,ATP5G3,ENTPD1,RIPOR2
CDKN1A,UCP2,,RAB27A,SERTAD1,EMB,,SH3YL1,ATP2B4,S1PR1,TC2N,LAP3,EIF1,CD63,SAMD3,RCAN3,DOK2,USP18,SLC7A5,MIR4435-1HG,MYO1G,,IL16,DENND1C,PIP4K2A,GRK2,NFKBIA,PPP1R14B,C4ORF3,CRTAM,PLEKHF1
EZR,NAMPT,,FKBP5,ANXA1,HMGB2,,SPINT2,HSP90AB1,GPSM3,LPAR6,C19orf66,EZR,CD82,SH3BP5,CD55,TSPYL2,LAP3,SLC3A2,POLD4,SELENOH,,RBL2,INPP4B,MDM4,RCAN3,SESN1,JUN,CST7,GNB2L1,ATP5F1D
SLC2A3,IFI6,,MAF,KLF6,PARP8,,EEF1B2,LMO4,TC2N,AES,GZMA,FAM46C,ZBED2,MYO1G,C1orf228,IER5,DDX60L,COTL1,C12orf75,APMAP,,CORO1A,JUNB,IKZF3,PABPC4,CEBPD,GPR171,ATP5J,SAMSN1,CD247
PLP2,CCR8,,ATP5G3,NR4A2,ATP5MG,,KLF2,GNA15,TRAF3IP3,FOXP1,DRAP1,ATP1B3,PKM,S1PR1,SMDT1,CKS2,DDX58,CD44,PLEK,SAMD3,,CISD3,SRSF6,TOB1,MLLT6,TC2N,IL4I1,ITGA4,TRDC,CDC25B
GLIPR1,ARID5B,,PFN1,TCP1,ANXA1,,NUCB2,SQSTM1,TESPA1,TESPA1,GBP4,TTC19,FKBP1A,RIPOR2,EIF3H,STIP1,RNF213,TGFB1,FKBP1A,PSMB10,,CSK,TOX,RORA,POU2F2,NFKBIZ,ERN1,ATP5F1,LYST,PTPN6
