cluster,gene,avg_logFC,p_val,p_val_adj,pct.1,pct.2,celltype,avg_strength
CD4_c2_Tn,CCR7,0.405677887954685,1.04590530113962e-297,8.19540016813977e-293,0.382,0.293,T,0.405677887954685
CD4_c2_Tn,GLTSCR2,0.398838072669205,4.26723176914762e-197,3.343674797351e-192,0.45,0.417,T,0.398838072669205
CD4_c2_Tn,TCF7,0.37566329115964,2.08744458630931e-168,1.63565895449438e-163,0.346,0.285,T,0.37566329115964
CD4_c2_Tn,GNB2L1,0.370712652579511,0,0,0.49,0.408,T,0.370712652579511
CD4_c2_Tn,SELL,0.365532487932107,4.48693370484871e-199,3.5158266431083e-194,0.414,0.353,T,0.365532487932107
CD4_c2_Tn,C6orf48,0.318858145788793,1.35458683537204e-98,1.06141360659247e-93,0.314,0.281,T,0.318858145788793
CD4_c2_Tn,TMEM66,0.312121444678096,2.85631425341186e-28,2.23812215954593e-23,0.184,0.167,T,0.312121444678096
CD4_c2_Tn,EEF1B2,0.293071636575051,0,0,0.818,0.87,T,0.293071636575051
CD4_c2_Tn,LEF1,0.28424262453335303,2.85900687161402e-84,2.2402320143906e-79,0.271,0.232,T,0.28424262453335303
CD4_c2_Tn,TOMM7,0.279286020470955,0,0,0.786,0.847,T,0.279286020470955
CD4_c2_Tn,EEF1G,0.278764877125186,1.09593394954008e-5,0.858740964841121,0.338,0.364,T,0.278764877125186
CD4_c2_Tn,EIF3E,0.275038984944662,1.76164258948413e-112,1.38037028384208e-107,0.592,0.653,T,0.275038984944662
CD4_c2_Tn,GIMAP1,0.267114458769847,3.30067223055915e-29,2.58630773969924e-24,0.223,0.207,T,0.267114458769847
CD4_c2_Tn,NOSIP,0.265708392840722,9.06311855155751e-15,7.10158780344392e-10,0.353,0.37,T,0.265708392840722
CD4_c2_Tn,UBA52,0.258636616730973,0,0,0.901,0.949,T,0.258636616730973
CD4_c2_Tn,FAM65B,0.254701106166071,5.48994633796151e-30,4.3017572520365e-25,0.157,0.138,T,0.254701106166071
CD4_c3_Tfh,CXCL13,3.01695422519524,0,0,0.534,0.032,T,3.01695422519524
CD4_c3_Tfh,NMB,1.36772037815474,0,0,0.344,0.053,T,1.36772037815474
CD4_c3_Tfh,PDCD1,1.16365625827481,0,0,0.54,0.096,T,1.16365625827481
CD4_c3_Tfh,FABP5,1.09205103446662,0,0,0.413,0.104,T,1.09205103446662
CD4_c3_Tfh,ITM2A,1.02560399430704,0,0,0.798,0.409,T,1.02560399430704
CD4_c3_Tfh,LAG3,1.00342784810746,0,0,0.252,0.066,T,1.00342784810746
CD4_c3_Tfh,CD200,0.988389911126764,0,0,0.33,0.02,T,0.988389911126764
CD4_c3_Tfh,TOX2,0.969691233732398,0,0,0.358,0.042,T,0.969691233732398
CD4_c3_Tfh,GNG4,0.927875733905322,0,0,0.308,0.017,T,0.927875733905322
CD4_c3_Tfh,TIGIT,0.86662683856123,0,0,0.694,0.219,T,0.86662683856123
CD4_c3_Tfh,NR3C1,0.853260028505763,0,0,0.763,0.385,T,0.853260028505763
CD4_c3_Tfh,SH2D1A,0.83493413818019,0,0,0.543,0.197,T,0.83493413818019
CD4_c3_Tfh,SMCO4,0.821231887999136,0,0,0.341,0.045,T,0.821231887999136
CD4_c3_Tfh,CHI3L2,0.815584181457883,0,0,0.207,0.035,T,0.815584181457883
CD4_c3_Tfh,TOX,0.790325784437095,0,0,0.426,0.073,T,0.790325784437095
CD4_c3_Tfh,ICA1,0.784363012282731,0,0,0.363,0.066,T,0.784363012282731
CD4_c3_Tfh,CAV1,0.775139926330075,0,0,0.129,0.006,T,0.775139926330075
CD4_c3_Tfh,PTPN13,0.745200623623971,0,0,0.308,0.038,T,0.745200623623971
CD4_c3_Tfh,PTPRCAP,0.737386517028973,0,0,0.57,0.304,T,0.737386517028973
CD4_c3_Tfh,SRGN,0.730092716999141,0,0,0.977,0.791,T,0.730092716999141
CD4_c3_Tfh,DUSP4,0.728991516362119,0,0,0.476,0.251,T,0.728991516362119
CD4_c3_Tfh,PPP1CC,0.714335344562367,0,0,0.58,0.271,T,0.714335344562367
CD4_c3_Tfh,PDE7B,0.684198506613986,0,0,0.224,0.013,T,0.684198506613986
CD4_c3_Tfh,CORO1B,0.683543416986463,0,0,0.573,0.307,T,0.683543416986463
CD4_c3_Tfh,AHI1,0.670738345265474,0,0,0.326,0.076,T,0.670738345265474
CD4_c3_Tfh,H2AFZ,0.668814418314202,0,0,0.736,0.488,T,0.668814418314202
CD4_c3_Tfh,TNFRSF4,0.651397485734829,0,0,0.562,0.228,T,0.651397485734829
CD4_c3_Tfh,C9orf16,0.634717597704798,0,0,0.616,0.369,T,0.634717597704798
CD4_c3_Tfh,LAT,0.633434800910149,0,0,0.658,0.398,T,0.633434800910149
CD4_c3_Tfh,BTLA,0.633013640784001,0,0,0.304,0.049,T,0.633013640784001
CD4_c3_Tfh,CPM,0.628166601786529,0,0,0.249,0.033,T,0.628166601786529
CD4_c3_Tfh,GK,0.626023707830578,0,0,0.338,0.107,T,0.626023707830578
CD4_c3_Tfh,GAPDH,0.623948776186472,0,0,0.974,0.85,T,0.623948776186472
CD4_c3_Tfh,TNFRSF18,0.62234885198721,0,0,0.49,0.194,T,0.62234885198721
CD4_c3_Tfh,NME1-NME2,0.611530337851722,0,0,0.263,0.07,T,0.611530337851722
CD4_c3_Tfh,GPX1,0.609972925355839,0,0,0.473,0.191,T,0.609972925355839
CD4_c3_Tfh,CXCR5,0.603755572158694,0,0,0.224,0.036,T,0.603755572158694
CD4_c3_Tfh,PGAM1,0.602457496782629,0,0,0.647,0.349,T,0.602457496782629
CD4_c3_Tfh,PKM,0.595315913849062,0,0,0.709,0.434,T,0.595315913849062
CD4_c3_Tfh,RNF19A,0.588343732789549,0,0,0.619,0.28,T,0.588343732789549
CD4_c3_Tfh,ZBED2,0.585544930474648,0,0,0.155,0.018,T,0.585544930474648
CD4_c3_Tfh,PASK,0.585082798103676,0,0,0.367,0.155,T,0.585082798103676
CD4_c3_Tfh,THADA,0.579418781732379,0,0,0.315,0.079,T,0.579418781732379
CD4_c3_Tfh,LIMS1,0.572171881418357,0,0,0.534,0.223,T,0.572171881418357
CD4_c3_Tfh,IL6ST,0.568354556159062,0,0,0.481,0.224,T,0.568354556159062
CD4_c3_Tfh,RAB27A,0.563821443267871,0,0,0.445,0.161,T,0.563821443267871
CD4_c3_Tfh,FKBP5,0.557469034726183,0,0,0.585,0.309,T,0.557469034726183
CD4_c3_Tfh,MAF,0.552700926108938,0,0,0.537,0.211,T,0.552700926108938
CD4_c3_Tfh,ATP5G3,0.551503772941222,0,0,0.527,0.226,T,0.551503772941222
CD4_c3_Tfh,PFN1,0.547345113491585,0,0,0.956,0.859,T,0.547345113491585
CD4_c4_Tstr,HSPA6,2.77328079521119,0,0,0.417,0.029,T,2.77328079521119
CD4_c4_Tstr,HSPA1A,2.56072595115981,0,0,0.773,0.266,T,2.56072595115981
CD4_c4_Tstr,HSPA1B,2.45956295336214,0,0,0.762,0.169,T,2.45956295336214
CD4_c4_Tstr,DNAJB1,2.27136309083596,0,0,0.904,0.474,T,2.27136309083596
CD4_c4_Tstr,HSPH1,1.74896972949655,0,0,0.691,0.259,T,1.74896972949655
CD4_c4_Tstr,HSP90AA1,1.74442515272318,0,0,0.937,0.733,T,1.74442515272318
CD4_c4_Tstr,HSPE1,1.54461533037132,0,0,0.764,0.461,T,1.54461533037132
CD4_c4_Tstr,HSPB1,1.53733627209229,0,0,0.656,0.359,T,1.53733627209229
CD4_c4_Tstr,BAG3,1.51430320056792,0,0,0.415,0.086,T,1.51430320056792
CD4_c4_Tstr,HSPD1,1.49621522488532,0,0,0.7,0.388,T,1.49621522488532
CD4_c4_Tstr,DNAJA1,1.30645380585442,0,0,0.768,0.399,T,1.30645380585442
CD4_c4_Tstr,HSP90AB1,1.28592567521244,0,0,0.882,0.673,T,1.28592567521244
CD4_c4_Tstr,JUN,1.25128651011382,0,0,0.792,0.51,T,1.25128651011382
CD4_c4_Tstr,NR4A1,1.2392200135495,0,0,0.397,0.081,T,1.2392200135495
CD4_c4_Tstr,FKBP4,1.16063240846124,0,0,0.378,0.137,T,1.16063240846124
CD4_c4_Tstr,HSPA8,1.11990284844536,0,0,0.919,0.776,T,1.11990284844536
CD4_c4_Tstr,ZFAND2A,1.11694037823461,0,0,0.398,0.106,T,1.11694037823461
CD4_c4_Tstr,SERPINH1,1.11633862408949,0,0,0.25,0.038,T,1.11633862408949
CD4_c4_Tstr,FOSB,1.10224713968297,0,0,0.526,0.236,T,1.10224713968297
CD4_c4_Tstr,FOS,1.06738002598177,0,0,0.653,0.425,T,1.06738002598177
CD4_c4_Tstr,PPP1R15A,1.06515730596205,0,0,0.723,0.365,T,1.06515730596205
CD4_c4_Tstr,CACYBP,1.05064052885512,0,0,0.622,0.36,T,1.05064052885512
CD4_c4_Tstr,DUSP1,1.03781372538677,0,0,0.804,0.499,T,1.03781372538677
CD4_c4_Tstr,EGR1,1.02070833361604,0,0,0.28,0.06,T,1.02070833361604
CD4_c4_Tstr,GADD45B,1.0018443454503,0,0,0.486,0.241,T,1.0018443454503
CD4_c4_Tstr,UBB,0.998824176501619,0,0,0.889,0.718,T,0.998824176501619
CD4_c4_Tstr,UBC,0.955268874656756,0,0,0.933,0.831,T,0.955268874656756
CD4_c4_Tstr,DNAJB4,0.949426427875961,0,0,0.341,0.067,T,0.949426427875961
CD4_c4_Tstr,RGS2,0.901102027132892,0,0,0.461,0.201,T,0.901102027132892
CD4_c4_Tstr,CCL4,0.828325438140793,1.49661643106914e-164,1.17270373689285e-159,0.186,0.116,T,0.828325438140793
CD4_c4_Tstr,IFNG,0.795780638127022,0,0,0.134,0.057,T,0.795780638127022
CD4_c4_Tstr,RHOB,0.793400593965703,0,0,0.203,0.063,T,0.793400593965703
CD4_c4_Tstr,MRPL18,0.78642253191295,0,0,0.417,0.19,T,0.78642253191295
CD4_c4_Tstr,DNAJA4,0.782993012726778,0,0,0.258,0.043,T,0.782993012726778
