LASP1,LASP2,LASP3,LASP4,LASP5,LHS1,LHS2,LHS3,BMYO1,BMYO2,FB1,FB2,FB3,FB4,PV1,PV2,PV3,PV4,PV5,VEV,VEC,VEA,VEAT,LE1,LE2,CD4_naive,CD4_Th,CD8_Tem,CD8_Trm,CD8_Tc1,NKT,NK,ILC,B_naive,B_mem_switched,B_mem_unswitched,Plasma_cell,Macro,Macro-lipo,DC
CXCL17,KRT15,RACK1,CCDC34,SGO1,SEMA4B,FASN,SEMA3B,AMIGO2,FAM184A,GAS7,WIPI1,DIRAS3,HAS1,EDNRB,AC091182.1,CACNA1A,LGI4,SCN4B,TMEM273,CPNE8-AS1,CDA,JDP2,FAM174B,FLT4,IPCEF1,BRD9,PPP2R5C,SLAMF6,NKRF,TMIGD2,CD247,GNG4,LINC01857,PARP15,METTL8,LINC01480,MSR1,LYZ,CYP2S1
DNTTIP1,NFKBIZ,TPT1-AS1,PPP1R16A,FOXM1,MAP3K1,MAGED2,IGSF1,GPC1,ARHGAP5,ISLR,CLMP,CTSF,SEC62,PTGER3,LCLAT1,GLDN,REM1,COL25A1,RAPGEF5,CDC27,MYRIP,GRAP,STAB2,DMTN,SC5D,TNFSF8,NKG7,GNLY,IL21R,FCRL3,IL12RB2,AC124248.1,AP001059.3,C12orf42,TLR10,AC104699.1,AC009630.4,SLC16A6,TMSB4X
AARD,LIPG,CLDN1,C2orf88,PLK1,EDN2,MUC6,LINC01578,SLC27A1,FAM126A,DLK1,MEDAG,FBLN1,NUMBL,TMED5,FAM122A,MYH11,EN1,FKBPL,LCN10,HDDC3,GRPEL2,TNFAIP8L1,ZDHHC14,VPS35L,SELL,IL2,OSBPL7,LINC01934,EOMES,GNPTAB,AC243829.4,TTC39C-AS1,SHISAL2A,FAM30A,WDFY4,SPINK2,AZIN1-AS1,AC020656.1,UBE2F
CMPK1,KLK5,CYP24A1,FOLR1,PKMYT1,FKBP1B,SCGB1B2P,CFB,WNT5B,XPR1,MIR99AHG,SERPINE2,PBX1,ETNK1,SSTR2,PRKAR1A,NMNAT2,RDH5,DMRT3,HOXB9,MLKL,IFI44L,KDR,ANKRD1,GUSB,LEPROTL1,CD28,ABHD17A,CHST12,LINC02446,ABHD17A,VSTM2L,LAT2,AC073111.4,CD70,HLA-DOA,LINC02384,LNCAROD,DNAJC5B,TXN
SAA2,LINC02595,RPL39,AARD,CCNB1,LYPD6B,TAT,SMIM14,SERPINB5,KLHL13,CPXM1,TAC1,ASPN,FIBIN,AF121898.1,RPRM,LDB3,GORAB,COX4I2,TSPAN7,B3GNT5,SYT1,PDE2A,TNFAIP8L3,ATP5F1E,GPR171,SATB1,GGA2,RNF166,GBP5,CD247,TOX2,KIT,ZNF318,LY9,MS4A1,ERN1,SPI1,AL121890.4,CLEC7A
AC092821.3,CAPN2,RPS24,PART1,BIRC5,OPN3,ANKRD30A,SCD,KRT5,CHRNA5,SCN7A,MAP3K4,CISH,MAP4K5,SLC1A2,AL022334.2,CAP2,FAM13C,AL020997.5,TMCC2,ELOC,CTTNBP2NL,KCNN2,VPS35L,PGM5-AS1,MTFP1,IL18RAP,WHRN,ZBED2,HERPUD2,ITGAL,XCL1,BCAS1,GNG7,KDM4B,NFKBID,LTK,MS4A4A,MFSD12,HLA-DPA1
ST8SIA1,HEBP2,CXCL17,CHORDC1,NCAPG,CAPN8,ST8SIA6,FAM104A,SAMD5,MIR31HG,IGF1,MMP2,FSTL3,FBN1,TRAM2,CREM,NTRK3,FHL1,TESC,SHROOM4,TMEM88,TOX2,EDC3,LRRC15,ASGR1,SATB1,KLRB1,PIP4K2A,GZMB,CTSW,KLRD1,LINC00996,RORC,TLR10,FGD2,CXCR5,HERPUD1,MS4A7,AC083864.5,IDO1
HSD17B2,SDC4,EEF1G,NCALD,GTSE1,MYL12B,HMGCS2,CCDC74A,ALDH3A2,NEDD4L,COL5A1,SEMA6A,MPP6,IL33,HIPK2,IL1RL2,MYL9,EMX2OS,AVPR1A,ARHGAP31,SNAI1,GMNN,KCNJ15,LYVE1,SLCO2B1,TRABD2A,SARAF,AL137779.1,GFI1,TBX21,RNF166,IL2RB,TKTL1,PARP15,PRDM2,TMC8,TP53INP1,CD163,CCL18,KDM2B
SOX10,HCAR1,INAVA,APCDD1L-DT,MYBL2,NCEH1,C3orf14,PLIN5,JPH2,GPR87,LRRC17,PHC2,CST3,DGKH,CREB3L2,CTH,PPM1L,ANGPT1,BX284668.6,LRRC1,ERI1,HEY1,ANKRD11,EGLN3,IARS2,ITK,MAP3K4,FAM53B,LCK,GZMA,CEP78,LAT2,TNFRSF25,SPIB,CD72,STAP1,KCNK12,C3AR1,NR1H3,ETV3
CHI3L1,LMTK3,APCDD1L-DT,MUC15,RRM2,QSOX1,AFF3,SLC39A6,DKK3,HIBCH,PLA2G2A,ZDHHC9,GAS1,PTRH2,PAG1,SMC5,SEPTIN4,HSPB6,TBCC,AC110611.2,ANAPC13,CAPZA2,CPLX1,CNKSR3,TSTA3,HMGB2,HPGD,ZAP70,LINC01871,AL365361.1,MATK,CRCP,TMEM120A,WDFY4,SIT1,CLECL1,PAIP2B,OLR1,AK8,CD80
