gene,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,avg_strength
DYSF,9.29E-194,0.884159988,0.344,0.073,1.71E-189,cDC_CLEC9A,0.884159988
PPA1,4.08E-193,1.791585045,0.824,0.454,7.51E-189,cDC_CLEC9A,1.791585045
CYFIP2,5.62E-193,0.871931192,0.336,0.067,1.03E-188,cDC_CLEC9A,0.871931192
REPIN1,1.20E-190,0.728764635,0.486,0.138,2.20E-186,cDC_CLEC9A,0.728764635
MYCL,2.61E-189,1.061138157,0.368,0.083,4.81E-185,cDC_CLEC9A,1.061138157
PIM2,1.09E-186,0.908115309,0.393,0.095,2.01E-182,cDC_CLEC9A,0.908115309
ANPEP,2.09E-186,2.007061294,0.622,0.201,3.85E-182,cDC_CLEC9A,2.007061294
AGPAT1,1.01E-182,1.41199925,0.517,0.155,1.86E-178,cDC_CLEC9A,1.41199925
TOMM34,4.02E-181,1.246600634,0.402,0.099,7.41E-177,cDC_CLEC9A,1.246600634
CLIC2,1.34E-180,1.11900736,0.51,0.155,2.47E-176,cDC_CLEC9A,1.11900736
BASP1,4.71E-179,0.934258705,0.757,0.339,8.67E-175,cDC_CLEC9A,0.934258705
NFATC2,6.34E-179,0.698797047,0.45,0.122,1.17E-174,cDC_CLEC9A,0.698797047
LRBA,3.77E-178,0.74804941,0.34,0.075,6.94E-174,cDC_CLEC9A,0.74804941
UCP2,5.37E-178,1.993039476,0.894,0.629,9.89E-174,cDC_CLEC9A,1.993039476
PSTPIP1,3.83E-177,1.412588294,0.534,0.166,7.05E-173,cDC_CLEC9A,1.412588294
PTPRE,2.72E-176,1.378034693,0.829,0.432,5.01E-172,cDC_CLEC9A,1.378034693
SLC38A1,2.51E-175,0.625811825,0.342,0.075,4.62E-171,cDC_CLEC9A,0.625811825
TMEM50B,5.27E-171,1.482688292,0.569,0.194,9.71E-167,cDC_CLEC9A,1.482688292
CYP2S1,5.44E-169,1.787770016,0.432,0.119,1.00E-164,cDC_CLEC9A,1.787770016
CST7,1.85E-165,2.311452152,0.466,0.138,3.41E-161,cDC_CLEC9A,2.311452152
RAB29,4.07E-164,0.624675333,0.399,0.11,7.49E-160,cDC_CLEC9A,0.624675333
ELOVL5,3.34E-162,1.384282597,0.678,0.28,6.16E-158,cDC_CLEC9A,1.384282597
ECE1,9.75E-162,0.707071456,0.322,0.071,1.80E-157,cDC_CLEC9A,0.707071456
CCDC6,1.74E-161,0.974681824,0.497,0.157,3.21E-157,cDC_CLEC9A,0.974681824
NME4,4.16E-161,0.927026199,0.596,0.224,7.66E-157,cDC_CLEC9A,0.927026199
NBEAL2,2.47E-156,0.544144887,0.331,0.078,4.55E-152,cDC_CLEC9A,0.544144887
IGFBP7,1.03E-155,0.817774069,0.486,0.153,1.90E-151,cDC_CLEC9A,0.817774069
C20orf27,1.75E-155,1.244650635,0.71,0.338,3.22E-151,cDC_CLEC9A,1.244650635
NUP210,9.07E-155,0.359009684,0.373,0.095,1.67E-150,cDC_CLEC9A,0.359009684
NCOA7,1.04E-154,0.624390491,0.496,0.158,1.92E-150,cDC_CLEC9A,0.624390491
NLRC5,4.13E-154,1.800543401,0.409,0.115,7.60E-150,cDC_CLEC9A,1.800543401
DAPP1,5.39E-154,1.084720385,0.589,0.211,9.92E-150,cDC_CLEC9A,1.084720385
ADAM19,9.86E-153,1.30440412,0.392,0.104,1.82E-148,cDC_CLEC9A,1.30440412
IDH3A,1.84E-152,0.915076744,0.491,0.156,3.40E-148,cDC_CLEC9A,0.915076744
STK17A,8.64E-150,0.637034754,0.544,0.186,1.59E-145,cDC_CLEC9A,0.637034754
MARCKSL1,1.38E-149,0.46328088,0.65,0.258,2.54E-145,cDC_CLEC9A,0.46328088
C1QBP,7.89E-149,1.740408447,0.76,0.423,1.45E-144,cDC_CLEC9A,1.740408447
DCTPP1,6.97E-148,1.695242908,0.53,0.19,1.28E-143,cDC_CLEC9A,1.695242908
ID2,9.73E-147,2.075013156,0.854,0.551,1.79E-142,cDC_CLEC9A,2.075013156
HMGA1,2.54E-144,1.070145817,0.741,0.398,4.68E-140,cDC_CLEC9A,1.070145817
TPD52,1.27E-143,1.309614131,0.346,0.089,2.33E-139,cDC_CLEC9A,1.309614131
LSM6,9.24E-143,1.663085938,0.7,0.344,1.70E-138,cDC_CLEC9A,1.663085938
TPMT,9.68E-143,1.030367131,0.564,0.213,1.78E-138,cDC_CLEC9A,1.030367131
GYPC,1.15E-141,1.228141785,0.688,0.293,2.11E-137,cDC_CLEC9A,1.228141785
MCM5,6.07E-141,1.402869136,0.568,0.217,1.12E-136,cDC_CLEC9A,1.402869136
RAB11FIP1,2.14E-139,0.868300789,0.567,0.215,3.95E-135,cDC_CLEC9A,0.868300789
BIN1,4.12E-136,1.062731574,0.523,0.183,7.60E-132,cDC_CLEC9A,1.062731574
MAP3K13,4.52E-136,1.48556815,0.55,0.206,8.33E-132,cDC_CLEC9A,1.48556815
AP1G2,1.93E-135,2.076661592,0.437,0.137,3.56E-131,cDC_CLEC9A,2.076661592
BCL6,2.14E-135,1.838938401,0.42,0.127,3.94E-131,cDC_CLEC9A,1.838938401
PON2,5.84E-135,1.668341263,0.418,0.125,1.08E-130,cDC_CLEC9A,1.668341263
IL16,1.85E-133,1.085494339,0.553,0.215,3.41E-129,cDC_CLEC9A,1.085494339
PPM1M,1.58E-131,1.260510839,0.487,0.176,2.91E-127,cDC_CLEC9A,1.260510839
ACSL5,2.85E-129,0.91733706,0.449,0.145,5.25E-125,cDC_CLEC9A,0.91733706
FLOT2,1.64E-127,1.489974614,0.578,0.236,3.02E-123,cDC_CLEC9A,1.489974614
MPEG1,1.23E-126,1.732727687,0.728,0.367,2.27E-122,cDC_CLEC9A,1.732727687
UBL7,3.63E-126,1.251486034,0.594,0.247,6.69E-122,cDC_CLEC9A,1.251486034
SULF2,4.16E-126,0.908943121,0.466,0.153,7.65E-122,cDC_CLEC9A,0.908943121
SELPLG,2.70E-121,1.174673312,0.686,0.337,4.97E-117,cDC_CLEC9A,1.174673312
LMNA,7.20E-121,1.522538603,0.726,0.362,1.33E-116,cDC_CLEC9A,1.522538603
TMEM243,1.00E-120,1.011285578,0.609,0.263,1.85E-116,cDC_CLEC9A,1.011285578
SERTAD3,1.85E-119,1.114139809,0.472,0.168,3.40E-115,cDC_CLEC9A,1.114139809
IFT20,2.77E-118,1.236202708,0.549,0.225,5.10E-114,cDC_CLEC9A,1.236202708
MCUR1,8.89E-118,0.664846529,0.5,0.191,1.64E-113,cDC_CLEC9A,0.664846529
HPS5,1.49E-117,1.172476398,0.51,0.197,2.75E-113,cDC_CLEC9A,1.172476398
UNC119,2.21E-117,1.287360629,0.601,0.261,4.08E-113,cDC_CLEC9A,1.287360629
PXN,8.41E-117,0.561125494,0.429,0.14,1.55E-112,cDC_CLEC9A,0.561125494
PRDX2,1.18E-116,1.687542749,0.507,0.191,2.17E-112,cDC_CLEC9A,1.687542749
APOBR,7.07E-115,0.82846873,0.506,0.188,1.30E-110,cDC_CLEC9A,0.82846873
APOL3,2.21E-113,1.738207343,0.48,0.176,4.08E-109,cDC_CLEC9A,1.738207343
TAP2,4.64E-113,0.982067508,0.462,0.183,8.55E-109,cDC_CLEC9A,0.982067508
ATP6V0A2,5.03E-113,0.806291669,0.377,0.118,9.26E-109,cDC_CLEC9A,0.806291669
SCML1,8.32E-110,0.586399071,0.37,0.117,1.53E-105,cDC_CLEC9A,0.586399071
LMNB1,1.46E-109,0.520654358,0.431,0.15,2.70E-105,cDC_CLEC9A,0.520654358
SNRNP25,1.77E-109,1.287322614,0.467,0.177,3.26E-105,cDC_CLEC9A,1.287322614
